Metric,Value
Precision,0.6636085626911316
Recall,0.5994475138121547
F1-score,0.6298984034833092
Mean IoU,0.8826070641696007
TP,217
FP,110
FN,145
Model,YOLOv8s
Confidence,0.25
IOU_Threshold,0.5
Num_Images,50
